#curie_map:
#  CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#  CL: http://purl.obolibrary.org/obo/CL_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  FMA: http://purl.obolibrary.org/obo/FMA_
#  GO: http://purl.obolibrary.org/obo/GO_
#  HANCESTRO: http://purl.obolibrary.org/obo/HANCESTRO_
#  HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  PATO: http://purl.obolibrary.org/obo/PATO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  UO: http://purl.obolibrary.org/obo/UO_
#  edam.data: http://edamontology.org/data_
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/hca.sssom.tsv
#mapping_set_description: Human Cell Atlas curated mappings
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/about/collaborations/human-cell-atlas
subject_label	subject_category	predicate_id	object_id	mapping_justification
"""Blood pre-cDC,blood pre-conventional dendritic cells (cDCs)"""	selected_cell_types	skos:closeMatch	CL:0002010	semapv:ManualMappingCuration
10X 3' v2 sequencing	library_construction_method	skos:closeMatch	EFO:0009899	semapv:ManualMappingCuration
10X v3 sequencing	library_construction_method	skos:closeMatch	EFO:0009898	semapv:ManualMappingCuration
10x Chromium (v3)	library_construction_method	skos:closeMatch	EFO:0009898	semapv:ManualMappingCuration
129S6	strain	skos:closeMatch	EFO:0000598	semapv:ManualMappingCuration
12th post-conception week	development_stage	skos:closeMatch	HsapDv:0000049	semapv:ManualMappingCuration
17th week post-fertilization human stage	development_stage	skos:closeMatch	HsapDv:0000054	semapv:ManualMappingCuration
5-year-old human stage	development_stage	skos:closeMatch	HsapDv:0000099	semapv:ManualMappingCuration
Adult	development_stage	skos:closeMatch	EFO:0001272	semapv:ManualMappingCuration
Afp - GFP mouse	strain	skos:closeMatch	EFO:0010081	semapv:ManualMappingCuration
Ascending vasa recta endothelium	cell_type	skos:closeMatch	CL:1001131	semapv:ManualMappingCuration
B follicular	cell_type	skos:closeMatch	CL:0000843	semapv:ManualMappingCuration
Bronchopneumonia	diseases	skos:closeMatch	MONDO:0005682	semapv:ManualMappingCuration
