# mapping_set_id: https://w3id.org/commons/ols/mappings/mondo.ols.obsolete.sssom.tsv
# mapping_set_group: ols_sssom_extracts
# mapping_set_confidence: '0.7'
# mapping_provider: https://www.ebi.ac.uk/ols4/ontologies/mondo
# mapping_tool: https://www.ebi.ac.uk/ols4
# mapping_set_title: OLS extracted MONDO mappings (obsolete terms)
# mapping_set_description: These mappings were extracted during the OLS dataload from MONDO for obsolete terms
# mapping_date: '2026-07-27'
# other:
#   local_id: mondo.ols.obsolete
#   prefix: MONDO
#   ontology: Mondo Disease Ontology (MONDO)
# local_name: mondo.ols.obsolete.sssom.tsv
# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   chebi: http://purl.obolibrary.org/obo/chebi/
#   inchi: 'https://bioregistry.io/inchi:'
#   inchikey: 'https://bioregistry.io/inchikey:'
#   smiles: 'https://bioregistry.io/smiles:'
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   OMIMPS: https://omim.org/MIM:PS
#   HP: http://purl.obolibrary.org/obo/HP_
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   SCTID: http://purl.bioontology.org/ontology/SNOMEDCT/
#   doid: http://purl.obolibrary.org/obo/DOID_
#   MESH: http://id.nlm.nih.gov/mesh/
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   ICD9: http://www.icd9data.com/getICD9Code.ashx?icd9=
#   NANDO: 'https://nanbyodata.jp/disease/NANDO:'
#   OMIM: https://omim.org/entry/
#   Orphanet: http://www.orpha.net/ORDO/Orphanet_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   MedDRA: https://bioportal.bioontology.org/ontologies/MEDDRA?p=classes&conceptid=
#   MEDGEN: https://www.ncbi.nlm.nih.gov/medgen/
#   UMLS: https://uts.nlm.nih.gov/uts/umls/concept/
#   Wikipedia: http://en.wikipedia.org/wiki/
#   efo: http://www.ebi.ac.uk/efo/EFO_
#   NORD: https://rarediseases.org/?p=
#   ncit: http://purl.obolibrary.org/obo/NCIT_
#   PMID: https://pubmed.ncbi.nlm.nih.gov/
#   ICD10WHO: https://icd.who.int/browse10/2019/en#/
#   orphanet.ordo: http://www.orpha.net/ORDO/Orphanet_
#   ICD10CM: https://www.icd10data.com/search?s=
#   HGNC: 'https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:'
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
MONDO:0000049	oboInOwl:hasDbXref	OMIMPS:610799	semapv:UnspecifiedMatching	obsolete invasive pneumococcal disease, recurrent isolated	
MONDO:0000063	oboInOwl:hasDbXref	HP:0003570	semapv:UnspecifiedMatching	obsolete molybdenum cofactor deficiency	
MONDO:0000094	oboInOwl:hasDbXref	HP:0004444	semapv:UnspecifiedMatching	obsolete spherocytosis	
MONDO:0000169	oboInOwl:hasDbXref	OMIMPS:156850	semapv:UnspecifiedMatching	obsolete microphthalmia, isolated, with cataract	
MONDO:0000204	oboInOwl:hasDbXref	OMIMPS:156610	semapv:UnspecifiedMatching	obsolete skin creases, congenital symmetric circumferential	
MONDO:0000218	oboInOwl:hasDbXref	OMIMPS:616814	semapv:UnspecifiedMatching	obsolete preimplantation embryonic lethality	
MONDO:0000238	oboInOwl:hasDbXref	DOID:0050068	semapv:UnspecifiedMatching	obsolete pestis minor	
MONDO:0000238	oboInOwl:hasDbXref	SCTID:186287003	semapv:UnspecifiedMatching	obsolete pestis minor	
MONDO:0000275	skos:exactMatch	doid:0050177	semapv:UnspecifiedMatching	obsolete monogenic disease	
MONDO:0000275	oboInOwl:hasDbXref	DOID:0050177	semapv:UnspecifiedMatching	obsolete monogenic disease	
MONDO:0000348	skos:exactMatch	doid:0050537	semapv:UnspecifiedMatching	obsolete posterior polar cataract	
MONDO:0000348	oboInOwl:hasDbXref	DOID:0050537	semapv:UnspecifiedMatching	obsolete posterior polar cataract	
MONDO:0000411	skos:exactMatch	doid:0050701	semapv:UnspecifiedMatching	obsolete electroclinical syndrome	
MONDO:0000411	oboInOwl:hasDbXref	DOID:0050701	semapv:UnspecifiedMatching	obsolete electroclinical syndrome	
MONDO:0000412	skos:exactMatch	doid:0050702	semapv:UnspecifiedMatching	obsolete neonatal period electroclinical syndrome	
MONDO:0000412	oboInOwl:hasDbXref	DOID:0050702	semapv:UnspecifiedMatching	obsolete neonatal period electroclinical syndrome	
MONDO:0000413	skos:exactMatch	doid:0050703	semapv:UnspecifiedMatching	obsolete infancy electroclinical syndrome	
MONDO:0000413	oboInOwl:hasDbXref	DOID:0050703	semapv:UnspecifiedMatching	obsolete infancy electroclinical syndrome	
MONDO:0000414	skos:exactMatch	doid:0050704	semapv:UnspecifiedMatching	obsolete childhood electroclinical syndrome	
MONDO:0000414	oboInOwl:hasDbXref	DOID:0050704	semapv:UnspecifiedMatching	obsolete childhood electroclinical syndrome	
MONDO:0000501	oboInOwl:hasDbXref	DOID:0050867	semapv:UnspecifiedMatching	obsolete Jensen syndrome	
