# mapping_set_id: https://w3id.org/commons/ols/mappings/mondo.ols.sssom.tsv
# mapping_set_group: ols_sssom_extracts
# mapping_set_confidence: '0.7'
# mapping_provider: https://www.ebi.ac.uk/ols4/ontologies/mondo
# mapping_tool: https://www.ebi.ac.uk/ols4
# mapping_set_title: OLS extracted MONDO mappings
# mapping_set_description: These mappings were extracted during the OLS dataload from MONDO
# mapping_date: '2026-05-22'
# other:
#   local_id: mondo.ols
# local_name: mondo.ols.sssom.tsv
# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   chebi: http://purl.obolibrary.org/obo/chebi/
#   inchi: 'https://bioregistry.io/inchi:'
#   inchikey: 'https://bioregistry.io/inchikey:'
#   smiles: 'https://bioregistry.io/smiles:'
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MESH: http://id.nlm.nih.gov/mesh/
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   OGMS: http://purl.obolibrary.org/obo/OGMS_
#   Orphanet: http://www.orpha.net/ORDO/Orphanet_
#   SCTID: http://purl.bioontology.org/ontology/SNOMEDCT/
#   BFO: http://purl.obolibrary.org/obo/BFO_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   MEDGEN: https://www.ncbi.nlm.nih.gov/medgen/
#   UMLS: https://uts.nlm.nih.gov/uts/umls/concept/
#   OMIMPS: https://omim.org/MIM:PS
#   MedDRA: https://bioportal.bioontology.org/ontologies/MEDDRA?p=classes&conceptid=
#   NANDO: 'https://nanbyodata.jp/disease/NANDO:'
#   HP: http://purl.obolibrary.org/obo/HP_
#   OMIM: https://omim.org/entry/
#   NORD: https://rarediseases.org/?p=
#   ICD10CM: https://www.icd10data.com/search?s=
#   ICD9: http://www.icd9data.com/getICD9Code.ashx?icd9=
#   ICD10WHO: https://icd.who.int/browse10/2019/en#/
#   NDFRT: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NDFRT&code=
#   MFOMD: http://purl.obolibrary.org/obo/MFOMD_
#   HGNC: 'https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:'
#   Wikipedia: http://en.wikipedia.org/wiki/
#   birnlex: http://uri.neuinfo.org/nif/nifstd/birnlex_
#   PMID: https://pubmed.ncbi.nlm.nih.gov/
#   IDO: http://purl.obolibrary.org/obo/IDO_
#   DECIPHER: https://www.deciphergenomics.org/syndrome/
#   OBI: http://purl.obolibrary.org/obo/OBI_
#   ORDO: http://www.orpha.net/ORDO/Orphanet_
#   SCDO: http://purl.obolibrary.org/obo/SCDO_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   orphanet.ordo: http://www.orpha.net/ORDO/Orphanet_
#   OMIA: 'https://omia.org/phene/omia:'
#   MPATH: http://purl.obolibrary.org/obo/MPATH_
#   RO: http://purl.obolibrary.org/obo/RO_
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
MONDO:0000001	oboInOwl:hasDbXref	DOID:4	semapv:UnspecifiedMatching	disease	disease
MONDO:0000001	oboInOwl:hasDbXref	MESH:D004194	semapv:UnspecifiedMatching	disease	
MONDO:0000001	oboInOwl:hasDbXref	NCIT:C2991	semapv:UnspecifiedMatching	disease	Disease or Disorder
MONDO:0000001	oboInOwl:hasDbXref	OGMS:0000031	semapv:UnspecifiedMatching	disease	disease
MONDO:0000001	oboInOwl:hasDbXref	Orphanet:377788	semapv:UnspecifiedMatching	disease	
MONDO:0000001	oboInOwl:hasDbXref	SCTID:64572001	semapv:UnspecifiedMatching	disease	
MONDO:0000001	rdfs:subClassOf	BFO:0000016	semapv:UnspecifiedMatching	disease	disposition
MONDO:0000004	oboInOwl:hasDbXref	DOID:10493	semapv:UnspecifiedMatching	adrenocortical insufficiency	adrenal cortical hypofunction
MONDO:0000004	oboInOwl:hasDbXref	EFO:0009491	semapv:UnspecifiedMatching	adrenocortical insufficiency	obsolete_adrenocortical insufficiency
MONDO:0000004	oboInOwl:hasDbXref	MEDGEN:589758	semapv:UnspecifiedMatching	adrenocortical insufficiency	
MONDO:0000004	oboInOwl:hasDbXref	MESH:D000309	semapv:UnspecifiedMatching	adrenocortical insufficiency	
MONDO:0000004	oboInOwl:hasDbXref	NCIT:C26691	semapv:UnspecifiedMatching	adrenocortical insufficiency	Adrenocortical Insufficiency
MONDO:0000004	oboInOwl:hasDbXref	SCTID:386584007	semapv:UnspecifiedMatching	adrenocortical insufficiency	
MONDO:0000004	oboInOwl:hasDbXref	UMLS:C0405580	semapv:UnspecifiedMatching	adrenocortical insufficiency	
MONDO:0000004	rdfs:subClassOf	MONDO:0002816	semapv:UnspecifiedMatching	adrenocortical insufficiency	adrenal cortex disorder
MONDO:0000005	oboInOwl:hasDbXref	OMIMPS:203655	semapv:UnspecifiedMatching	alopecia, isolated	
MONDO:0000005	rdfs:subClassOf	MONDO:0100118	semapv:UnspecifiedMatching	alopecia, isolated	hereditary skin disorder
MONDO:0000009	oboInOwl:hasDbXref	DOID:2218	semapv:UnspecifiedMatching	inherited bleeding disorder, platelet-type	blood platelet disease
MONDO:0000009	oboInOwl:hasDbXref	MEDGEN:610	semapv:UnspecifiedMatching	inherited bleeding disorder, platelet-type	
MONDO:0000009	oboInOwl:hasDbXref	OMIMPS:231200	semapv:UnspecifiedMatching	inherited bleeding disorder, platelet-type	
MONDO:0000009	oboInOwl:hasDbXref	UMLS:C0005818	semapv:UnspecifiedMatching	inherited bleeding disorder, platelet-type	
MONDO:0000009	rdfs:subClassOf	MONDO:0002243	semapv:UnspecifiedMatching	inherited bleeding disorder, platelet-type	hemorrhagic disease
MONDO:0000009	rdfs:subClassOf	MONDO:0002245	semapv:UnspecifiedMatching	inherited bleeding disorder, platelet-type	blood platelet disease
MONDO:0000014	rdfs:subClassOf	MONDO:0001703	semapv:UnspecifiedMatching	colorblindness, partial	color vision disorder
MONDO:0000015	oboInOwl:hasDbXref	MEDGEN:226929	semapv:UnspecifiedMatching	classic complement early component deficiency	
