# mapping_set_id: https://w3id.org/commons/ols/mappings/uberon.ols.sssom.tsv
# mapping_set_group: ols_sssom_extracts
# mapping_set_confidence: '0.7'
# mapping_provider: https://www.ebi.ac.uk/ols4/ontologies/uberon
# mapping_tool: https://www.ebi.ac.uk/ols4
# mapping_set_title: OLS extracted UBERON mappings
# mapping_set_description: These mappings were extracted during the OLS dataload from UBERON
# mapping_date: '2026-05-22'
# other:
#   local_id: uberon.ols
# local_name: uberon.ols.sssom.tsv
# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   chebi: http://purl.obolibrary.org/obo/chebi/
#   inchi: 'https://bioregistry.io/inchi:'
#   inchikey: 'https://bioregistry.io/inchikey:'
#   smiles: 'https://bioregistry.io/smiles:'
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   BFO: http://purl.obolibrary.org/obo/BFO_
#   CARO: http://purl.obolibrary.org/obo/CARO_
#   BTO: http://purl.obolibrary.org/obo/BTO_
#   CALOHA: https://www.nextprot.org/term/
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   EMAPA: http://purl.obolibrary.org/obo/EMAPA_
#   EV: http://purl.obolibrary.org/obo/EV_
#   FMA: http://purl.obolibrary.org/obo/FMA_
#   MA: http://purl.obolibrary.org/obo/MA_
#   MAT: http://purl.obolibrary.org/obo/MAT_
#   MESH: http://id.nlm.nih.gov/mesh/
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   SCTID: http://purl.bioontology.org/ontology/SNOMEDCT/
#   VHOG: http://purl.obolibrary.org/obo/VHOG_
#   Wikipedia: http://en.wikipedia.org/wiki/
#   UMLS: https://uts.nlm.nih.gov/uts/umls/concept/
#   AAO: http://purl.obolibrary.org/obo/AAO_
#   EHDAA2: http://purl.obolibrary.org/obo/EHDAA2_
#   EHDAA: http://purl.obolibrary.org/obo/EHDAA_
#   TAO: http://purl.obolibrary.org/obo/TAO_
#   ZFA: http://purl.obolibrary.org/obo/ZFA_
#   FBbt: http://purl.obolibrary.org/obo/FBbt_
#   FMA_2: 'https://www.ebi.ac.uk/ols4/ontologies/fma/terms?obo_id=FMA:'
#   XAO: http://purl.obolibrary.org/obo/XAO_
#   BIRNLEX: http://uri.neuinfo.org/nif/nifstd/birnlex_
#   DHBA: https://purl.brain-bican.org/ontology/dhbao/DHBA_
#   HBA: https://purl.brain-bican.org/ontology/hbao/HBA_
#   neuronames: http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=
#   BILA: http://purl.obolibrary.org/obo/BILA_
#   EHDA: http://purl.obolibrary.org/obo/EHDA_
#   NLXANAT: http://uri.neuinfo.org/nif/nifstd/nlx_anat_
#   AEO: http://purl.obolibrary.org/obo/AEO_
#   HAO: http://purl.obolibrary.org/obo/HAO_
#   TGMA: http://purl.obolibrary.org/obo/TGMA_
#   IDOMAL: http://purl.obolibrary.org/obo/IDOMAL_
#   WBbt: http://purl.obolibrary.org/obo/WBbt_
#   VSAO: http://purl.obolibrary.org/obo/VSAO_
#   TAO_RETIRED: http://purl.obolibrary.org/obo/TAO_
#   ZFA_RETIRED: http://purl.obolibrary.org/obo/ZFA_
#   SPD: http://purl.obolibrary.org/obo/SPD_
#   DMBA: https://purl.brain-bican.org/ontology/dmbao/DMBA_
#   FAO: http://purl.obolibrary.org/obo/FAO_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   FBdv: http://purl.obolibrary.org/obo/FBdv_
#   WBls: http://purl.obolibrary.org/obo/WBls_
#   HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#   MmusDv: http://purl.obolibrary.org/obo/MmusDv_
#   ZFS: http://purl.obolibrary.org/obo/ZFS_
#   EMAPA_2: 'http://www.informatics.jax.org/vocab/gxd/anatomy/EMAPA:'
#   EMAPA_RETIRED: http://purl.obolibrary.org/obo/EMAPA_
#   PdumDv: http://purl.obolibrary.org/obo/PdumDv_
#   nlx.sub: http://uri.neuinfo.org/nif/nifstd/nlx_subcell_
#   NLX: http://uri.neuinfo.org/nif/nifstd/nlx_
#   TADS: http://purl.obolibrary.org/obo/TADS_
#   EHDAA2_RETIRED: http://purl.obolibrary.org/obo/EHDAA2_
#   NIF_Subcellular: http://www.neurolex.org/wiki/
#   GO: http://purl.obolibrary.org/obo/GO_
#   MBA: https://purl.brain-bican.org/ontology/mbao/MBA_
#   PBA: https://biopragmatics.github.io/providers/pba/
#   RETIRED_EHDAA2: http://purl.obolibrary.org/obo/EHDAA2_
#   ILX: https://scicrunch.org/scicrunch/interlex/view/ilx_
#   MFMO: http://purl.obolibrary.org/obo/MFMO_
#   nif.ext: http://uri.neuinfo.org/nif/nifstd/nifext_
#   FMA_RETIRED: 'https://www.ebi.ac.uk/ols4/ontologies/fma/terms?obo_id=FMA:'
#   VO: http://purl.obolibrary.org/obo/VO_
#   AEO_RETIRED: http://purl.obolibrary.org/obo/AEO_
#   VHOG_RETIRED: http://purl.obolibrary.org/obo/VHOG_
#   VSAO_RETIRED: http://purl.obolibrary.org/obo/VSAO_
#   EMAPS: 'https://www.informatics.jax.org/vocab/gxd/anatomy/EMAPS:'
#   CL: http://purl.obolibrary.org/obo/CL_
#   nlx.oen: http://uri.neuinfo.org/nif/nifstd/oen_
#   RadLex: https://radlex.org/RID/
#   MPATH: http://purl.obolibrary.org/obo/MPATH_
#   orcid: https://orcid.org/
#   NeuroNames: http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
UBERON:0000000	rdfs:subClassOf	BFO:0000003	semapv:UnspecifiedMatching	obsolete processual entity	occurrent
UBERON:0000001	oboInOwl:hasDbXref	CARO:0001008	semapv:UnspecifiedMatching	gross anatomical part	gross anatomical part
UBERON:0000001	rdfs:subClassOf	UBERON:0000465	semapv:UnspecifiedMatching	gross anatomical part	material anatomical entity
UBERON:0000002	oboInOwl:hasDbXref	BTO:0001421	semapv:UnspecifiedMatching	uterine cervix	uterine cervix
UBERON:0000002	oboInOwl:hasDbXref	BTO:0002249	semapv:UnspecifiedMatching	uterine cervix	cervical canal
UBERON:0000002	oboInOwl:hasDbXref	CALOHA:TS-0134	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	EFO:0000979	semapv:UnspecifiedMatching	uterine cervix	obsolete_cervix
UBERON:0000002	oboInOwl:hasDbXref	EMAPA:29927	semapv:UnspecifiedMatching	uterine cervix	cervix uteri
UBERON:0000002	oboInOwl:hasDbXref	EV:0100114	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	FMA:17740	semapv:UnspecifiedMatching	uterine cervix	colo do útero
UBERON:0000002	oboInOwl:hasDbXref	MA:0000392	semapv:UnspecifiedMatching	uterine cervix	uterine cervix
UBERON:0000002	oboInOwl:hasDbXref	MAT:0000292	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	MESH:D002584	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	NCIT:C12311	semapv:UnspecifiedMatching	uterine cervix	Cervix Uteri
UBERON:0000002	oboInOwl:hasDbXref	SCTID:181453009	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	VHOG:0001359	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	Wikipedia:Cervix	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000002	oboInOwl:hasDbXref	UMLS:C0007874	semapv:UnspecifiedMatching	uterine cervix	
UBERON:0000003	oboInOwl:hasDbXref	AAO:0000311	semapv:UnspecifiedMatching	naris	
UBERON:0000003	oboInOwl:hasDbXref	EHDAA2:0001225	semapv:UnspecifiedMatching	naris	
UBERON:0000003	oboInOwl:hasDbXref	EHDAA:9083	semapv:UnspecifiedMatching	naris	
UBERON:0000003	oboInOwl:hasDbXref	EMAPA:17847	semapv:UnspecifiedMatching	naris	naris
UBERON:0000003	oboInOwl:hasDbXref	MA:0000282	semapv:UnspecifiedMatching	naris	naris
UBERON:0000003	oboInOwl:hasDbXref	SCTID:272650008	semapv:UnspecifiedMatching	naris	
UBERON:0000003	oboInOwl:hasDbXref	VHOG:0000663	semapv:UnspecifiedMatching	naris	
UBERON:0000004	oboInOwl:hasDbXref	BTO:0000840	semapv:UnspecifiedMatching	nose	nose
UBERON:0000004	oboInOwl:hasDbXref	CALOHA:TS-2037	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	EHDAA2:0001274	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	EHDAA:1502	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	EMAPA:16542	semapv:UnspecifiedMatching	nose	nose
UBERON:0000004	oboInOwl:hasDbXref	EV:0100037	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	EV:0100370	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	FMA:46472	semapv:UnspecifiedMatching	nose	nariz
UBERON:0000004	oboInOwl:hasDbXref	MA:0000281	semapv:UnspecifiedMatching	nose	nose
UBERON:0000004	oboInOwl:hasDbXref	MAT:0000139	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	MESH:D009666	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	NCIT:C12756	semapv:UnspecifiedMatching	nose	Nose
UBERON:0000004	oboInOwl:hasDbXref	SCTID:181195007	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	TAO:0000047	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	Wikipedia:Nose	semapv:UnspecifiedMatching	nose	
UBERON:0000004	oboInOwl:hasDbXref	ZFA:0000047	semapv:UnspecifiedMatching	nose	peripheral olfactory organ
UBERON:0000004	oboInOwl:hasDbXref	UMLS:C0028429	semapv:UnspecifiedMatching	nose	
UBERON:0000005	oboInOwl:hasDbXref	FBbt:00005157	semapv:UnspecifiedMatching	chemosensory organ	chemosensory sensory organ
UBERON:0000006	oboInOwl:hasDbXref	AAO:0010406	semapv:UnspecifiedMatching	islet of Langerhans	
UBERON:0000006	oboInOwl:hasDbXref	BTO:0000991	semapv:UnspecifiedMatching	islet of Langerhans	pancreatic islet
UBERON:0000006	oboInOwl:hasDbXref	CALOHA:TS-0741	semapv:UnspecifiedMatching	islet of Langerhans	
UBERON:0000006	oboInOwl:hasDbXref	EFO:0000856	semapv:UnspecifiedMatching	islet of Langerhans	obsolete_islet of Langerhans
UBERON:0000006	oboInOwl:hasDbXref	EMAPA:32927	semapv:UnspecifiedMatching	islet of Langerhans	islets of Langerhans
UBERON:0000006	oboInOwl:hasDbXref	EV:0100130	semapv:UnspecifiedMatching	islet of Langerhans	
UBERON:0000006	oboInOwl:hasDbXref	FMA_2:16016	semapv:UnspecifiedMatching	islet of Langerhans	
UBERON:0000006	oboInOwl:hasDbXref	MA:0000127	semapv:UnspecifiedMatching	islet of Langerhans	pancreatic islet
